1580386765:[PRESS , 95]P  +1120mbar,T+11528mdegC
1580386769:[PRESS , 95]P  +1130mbar,T-15012mdegC
1580386770:[PRESS , 95]P  +1150mbar,T+11528mdegC
1580386776:[PRESS , 95]P  +1170mbar,T-15012mdegC
1580386836:[PRESS , 81]P  +1470mbar,T-15012mdegC
1580386840:[PRESS , 95]P  +1480mbar,T+11528mdegC
1580386842:[PRESS , 95]P  +1490mbar,T-27468mdegC
1580386844:[PRESS , 95]P  +1510mbar,T+11528mdegC
1580386849:[PRESS , 95]P  +1530mbar,T-15012mdegC
1580386851:[PRESS , 95]P  +1530mbar,T+11528mdegC
1580386853:[PRESS , 95]P  +1540mbar,T-15012mdegC
1580386856:[PRESS , 95]P  +1570mbar,T-27468mdegC
1580386858:[PRESS , 95]P  +1580mbar,T-15012mdegC
1580386860:[PRESS , 95]P  +1590mbar,T+11528mdegC
1580386922:[PRESS , 81]P  +1910mbar,T-15012mdegC
1580386924:[PRESS , 95]P  +1910mbar,T+11528mdegC
1580386935:[PRESS , 81]P  +1970mbar,T+11528mdegC
1580386940:[PRESS , 95]P  +2000mbar,T-15012mdegC
1580386944:[PRESS , 95]P  +2020mbar,T-27468mdegC
1580386945:[PRESS , 95]P  +2020mbar,T-15012mdegC
1580387008:[PRESS , 81]P  +2350mbar,T+11528mdegC
1580387011:[PRESS , 95]P  +2350mbar,T-15012mdegC
1580387013:[PRESS , 95]P  +2360mbar,T-27468mdegC
1580387015:[PRESS , 95]P  +2370mbar,T+11528mdegC
1580387027:[PRESS , 95]P  +2410mbar,T+23981mdegC
1580387029:[PRESS , 95]P  +2440mbar,T+11528mdegC
1580387043:[MONITR,461]battery 15407mV,    1586uA
1580387093:[PRESS , 81]P  +2700mbar,T+11528mdegC
1580387097:[PRESS , 95]P  +2700mbar,T-15012mdegC
1580387099:[PRESS , 95]P  +2710mbar,T+11528mdegC
1580387101:[PRESS , 95]P  +2700mbar,T-15012mdegC
1580387104:[PRESS , 95]P  +2710mbar,T+11528mdegC
1580387108:[PRESS , 95]P  +2700mbar,T-15012mdegC
1580387113:[PRESS , 95]P  +2710mbar,T+11528mdegC
1580387115:[PRESS , 95]P  +2730mbar,T-15012mdegC
1580387117:[PRESS , 95]P  +2730mbar,T+11528mdegC
1580387118:[PRESS , 95]P  +2740mbar,T-15012mdegC
1580387119:[VALVE ,129]opening for 2942ms
1580387120:[MONITR,461]battery 15003mV,  480314uA
1580387123:[MONITR,461]battery 15301mV,  103944uA
1580387179:[PRESS , 81]P  +3040mbar,T-15012mdegC
1580387181:[PRESS , 95]P  +3060mbar,T+11528mdegC
1580387183:[PRESS , 95]P  +3060mbar,T-15012mdegC
1580387185:[PRESS , 95]P  +3070mbar,T+11528mdegC
1580387186:[PRESS , 95]P  +3070mbar,T-15012mdegC
1580387188:[PRESS , 95]P  +3080mbar,T+11528mdegC
1580387190:[PRESS , 95]P  +3080mbar,T-15012mdegC
1580387194:[PRESS , 95]P  +3110mbar,T+11528mdegC
1580387195:[PRESS , 95]P  +3120mbar,T-15012mdegC
1580387199:[PRESS , 95]P  +3130mbar,T+11528mdegC
1580387204:[PRESS , 95]P  +3150mbar,T-15012mdegC
1580387265:[PRESS , 81]P  +3370mbar,T+11528mdegC
1580387274:[PRESS , 95]P  +3410mbar,T-27468mdegC
1580387276:[PRESS , 95]P  +3430mbar,T-15012mdegC
1580387278:[PRESS , 95]P  +3440mbar,T+11528mdegC
1580387281:[PRESS , 95]P  +3450mbar,T-15012mdegC
1580387290:[PRESS , 95]P  +3480mbar,T+23981mdegC
1580387292:[MONITR,461]battery 15415mV,    2928uA
1580387297:[PUMP  ,368]during 31615ms
1580387299:[MONITR,461]battery 15117mV,  303414uA
