1557666480:[MONITR,461]battery 14951mV,   65758uA
1557666516:[PRESS , 81]P  +5200mbar,T+28966mdegC
1557666518:[PRESS , 95]P  +5200mbar,T -9880mdegC
1557666522:[PRESS , 95]P  +5210mbar,T+28966mdegC
1557666525:[PRESS , 95]P  +5220mbar,T -9880mdegC
1557666527:[PRESS , 95]P  +5220mbar,T+28966mdegC
1557666538:[PRESS , 95]P  +5250mbar,T -9880mdegC
1557666541:[PRESS , 95]P  +5260mbar,T +2275mdegC
1557666549:[PUMP  ,367]during 7442ms
1557666550:[MONITR,461]battery 14436mV,  260592uA
1557666559:[MONITR,461]battery 14937mV,   65758uA
1557666605:[PRESS , 81]P  +5390mbar,T+28966mdegC
1557666607:[PRESS , 95]P  +5370mbar,T -9880mdegC
1557666609:[PRESS , 95]P  +5370mbar,T+28966mdegC
1557666610:[PRESS , 95]P  +5390mbar,T +2275mdegC
1557666612:[PRESS , 95]P  +5390mbar,T+28966mdegC
1557666616:[PRESS , 95]P  +5400mbar,T -9880mdegC
1557666619:[PRESS , 95]P  +5390mbar,T+16808mdegC
1557666621:[PRESS , 95]P  +5400mbar,T +2275mdegC
1557666623:[PRESS , 95]P  +5400mbar,T+28966mdegC
1557666625:[PRESS , 95]P  +5400mbar,T +2275mdegC
1557666627:[PRESS , 95]P  +5410mbar,T+28966mdegC
1557666629:[PRESS , 95]P  +5410mbar,T -9880mdegC
1557666630:[PRESS , 95]P  +5410mbar,T+28966mdegC
1557666638:[PUMP  ,367]during 2481ms
1557666640:[MONITR,461]battery 14376mV,  307806uA
1557666643:[MONITR,461]battery 14936mV,   65880uA
1557666694:[PRESS , 81]P  +5470mbar,T +2275mdegC
1557666696:[PRESS , 95]P  +5480mbar,T -9880mdegC
1557666700:[PRESS , 95]P  +5480mbar,T +2275mdegC
1557666701:[PRESS , 95]P  +5470mbar,T -9880mdegC
1557666703:[PRESS , 95]P  +5480mbar,T+28966mdegC
1557666709:[PRESS , 95]P  +5490mbar,T +2275mdegC
1557666710:[PRESS , 95]P  +5490mbar,T+16808mdegC
1557666712:[PRESS , 95]P  +5490mbar,T -9880mdegC
1557666714:[PRESS , 95]P  +5490mbar,T+28966mdegC
1557666727:[PUMP  ,367]during 9934ms
1557666729:[MONITR,461]battery 14357mV,  288530uA
1557666738:[MONITR,461]battery 14652mV,  239974uA
1557666739:[MONITR,461]battery 14950mV,   65758uA
1557666787:[PRESS , 95]P  +5490mbar,T -9880mdegC
1557666788:[PRESS , 95]P  +5490mbar,T+28966mdegC
1557666792:[PRESS , 95]P  +5500mbar,T +2275mdegC
1557666796:[PRESS , 95]P  +5480mbar,T+28966mdegC
1557666805:[PRESS , 95]P  +5490mbar,T +2275mdegC
1557666806:[PRESS , 95]P  +5480mbar,T+28966mdegC
1557666808:[PRESS , 95]P  +5480mbar,T +2275mdegC
1557666869:[PRESS , 81]P  +5410mbar,T -9880mdegC
1557666930:[PRESS , 95]P  +5360mbar,T+28966mdegC
1557666990:[PRESS , 81]P  +5300mbar,T+28966mdegC
1557667112:[PRESS , 81]P  +5240mbar,T -9880mdegC
1557667172:[PRESS , 95]P  +5220mbar,T +2275mdegC
1557667233:[PRESS , 95]P  +5200mbar,T+28966mdegC
1557667294:[PRESS , 95]P  +5160mbar,T -9880mdegC
1557667354:[MAIN  ,646]stage[1]
1557667357:[MAIN  ,651]internal pressure 82315Pa
1557667358:[MRMAID,557]acq started
1557667368:[PRESS , 81]P  +5090mbar,T -9880mdegC
1557667368:[BUOY  ,677]P  +5090mbar
1557667430:[PRESS , 95]P  +5040mbar,T+28966mdegC
1557667491:[MRMAID,594]acq stopped
1557667492:[VALVE ,129]opening for 364ms
1557667493:[MRMAID,557]acq started
1557667562:[PRESS , 81]P  +4970mbar,T+28966mdegC
1557667565:[PRESS , 95]P  +4970mbar,T -9880mdegC
1557667567:[PRESS , 95]P  +4970mbar,T+28966mdegC
1557667569:[PRESS , 95]P  +4970mbar,T -9880mdegC
1557667573:[PRESS , 95]P  +4980mbar,T+28966mdegC
1557667580:[PRESS , 95]P  +4980mbar,T -9880mdegC
1557667581:[PRESS , 95]P  +4980mbar,T+28966mdegC
1557667583:[PRESS , 95]P  +4960mbar,T -9880mdegC
1557667585:[PRESS , 95]P  +4970mbar,T+28966mdegC
1557667587:[PRESS , 95]P  +4980mbar,T +2275mdegC
1557667648:[PRESS , 95]P  +5000mbar,T+28966mdegC
1557667660:[MRMAID,565]50dbar, 29degC
1557667769:[PRESS , 81]P  +5070mbar,T+28966mdegC
1557667838:[PUMP  ,367]during 2475ms
1557667840:[MONITR,461]battery 14292mV,  296948uA
1557667842:[MONITR,461]battery 14890mV,   93574uA
1557667904:[PRESS , 95]P  +5090mbar,T -9880mdegC
1557667906:[PRESS , 95]P  +5090mbar,T+28966mdegC
1557667908:[PRESS , 95]P  +5080mbar,T +2275mdegC
1557667909:[PRESS , 95]P  +5090mbar,T+28966mdegC
1557667915:[PRESS , 95]P  +5090mbar,T +2275mdegC
1557667917:[PRESS , 95]P  +5090mbar,T -9880mdegC
1557667918:[PRESS , 95]P  +5090mbar,T+28966mdegC
1557667920:[PRESS , 95]P  +5090mbar,T +2275mdegC
1557667922:[PRESS , 95]P  +5090mbar,T+28966mdegC
1557667927:[PRESS , 95]P  +5090mbar,T +2275mdegC
1557667929:[PRESS , 95]P  +5090mbar,T -9880mdegC
1557667990:[PRESS , 95]P  +5070mbar,T+28966mdegC
1557668051:[PRESS , 95]P  +5080mbar,T +2275mdegC
1557668111:[PRESS , 95]P  +5090mbar,T+28966mdegC
1557668233:[PRESS , 95]P  +5130mbar,T -9880mdegC
1557668293:[PRESS , 95]P  +5110mbar,T +2275mdegC
1557668415:[PRESS , 95]P  +5110mbar,T+28966mdegC
1557668597:[PRESS , 81]P  +5180mbar,T+28966mdegC
1557668762:[MRMAID,658]stop canceled
1557668776:[MRMAID,589]ascent request rejected
