1564756373:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756375:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756423:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756430:[PRESS , 95]P  +7240mbar,T+10611mdegC
1564756432:[PRESS , 95]P  +7260mbar,T +2077mdegC
1564756434:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756435:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564756437:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564756439:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564756444:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564756446:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756487:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756489:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756492:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756498:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756505:[PRESS , 95]P  +7240mbar,T +2077mdegC
1564756507:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756512:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564756551:[PRESS , 95]P  +7270mbar,T+26768mdegC
1564756552:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564756560:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756568:[PRESS , 95]P  +7260mbar,T-22617mdegC
1564756570:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756576:[PRESS , 95]P  +7260mbar,T +2077mdegC
1564756614:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756620:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756623:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756625:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756631:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756634:[PRESS , 95]P  +7260mbar,T +2077mdegC
1564756636:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564756640:[PRESS , 95]P  +7280mbar,T-14077mdegC
1564756678:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564756680:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756684:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756686:[PRESS , 95]P  +7230mbar,T-14077mdegC
1564756687:[PRESS , 95]P  +7230mbar,T+26768mdegC
1564756691:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756693:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756695:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564756696:[PRESS , 95]P  +7230mbar,T-14077mdegC
1564756700:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756704:[PRESS , 95]P  +7230mbar,T-14077mdegC
1564756742:[PRESS , 95]P  +7230mbar,T+26768mdegC
1564756746:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564756750:[PRESS , 95]P  +7210mbar,T+26768mdegC
1564756751:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564756753:[PRESS , 95]P  +7270mbar,T-14077mdegC
1564756755:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756757:[PRESS , 95]P  +7220mbar,T +2077mdegC
1564756759:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564756762:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564756764:[PRESS , 95]P  +7230mbar,T+26768mdegC
1564756766:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756768:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564756807:[PRESS , 95]P  +7230mbar,T-14077mdegC
1564756808:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564756826:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564756828:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564756870:[PRESS , 95]P  +7230mbar,T-14077mdegC
1564756872:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564756879:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564756881:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564756886:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564756888:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564756890:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564756894:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564756895:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564756936:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564756941:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564756943:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564756945:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564756949:[PRESS , 95]P  +7230mbar,T+26768mdegC
1564756952:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564756957:[PRESS , 95]P  +7230mbar,T+26768mdegC
1564756959:[PRESS , 95]P  +7240mbar,T +2077mdegC
1564756998:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564757002:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757014:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757016:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757018:[PRESS , 95]P  +7230mbar,T +2077mdegC
1564757021:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564757065:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564757067:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757071:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564757073:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757078:[PRESS , 95]P  +7260mbar,T +2077mdegC
1564757080:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564757082:[PRESS , 95]P  +7240mbar,T +2077mdegC
1564757087:[PRESS , 95]P  +7260mbar,T-22617mdegC
1564757126:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757136:[PRESS , 95]P  +7220mbar,T +2077mdegC
1564757138:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757144:[PRESS , 95]P  +7230mbar,T +2077mdegC
1564757147:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757151:[MAIN  ,646]stage[1]
1564757153:[MAIN  ,651]internal pressure 76295Pa
1564757154:[MRMAID,557]acq started
1564757164:[BUOY  ,656]P  +7240mbar
1564757207:[MRMAID,658]stop canceled
1564757215:[PRESS , 95]P  +7260mbar,T-14077mdegC
1564757217:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757221:[PRESS , 95]P  +7240mbar,T +2077mdegC
1564757223:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564757228:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757232:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757237:[PRESS , 95]P  +7230mbar,T +2077mdegC
1564757241:[MRMAID,594]acq stopped
1564757244:[MRMAID,557]acq started
1564757289:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564757291:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564757295:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564757297:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757300:[PRESS , 95]P  +7240mbar,T +2077mdegC
1564757302:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564757304:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757306:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564757307:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757309:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757311:[PRESS , 95]P  +7260mbar,T +2077mdegC
1564757313:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757315:[PRESS , 95]P  +7240mbar,T +2077mdegC
1564757316:[MRMAID,594]acq stopped
1564757318:[MRMAID,557]acq started
1564757363:[PRESS , 95]P  +7270mbar,T+26768mdegC
1564757367:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564757369:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757376:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757378:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757380:[PRESS , 95]P  +7240mbar,T +2077mdegC
1564757385:[PRESS , 95]P  +7260mbar,T+26768mdegC
1564757387:[PRESS , 95]P  +7230mbar,T-14077mdegC
1564757389:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757389:[MRMAID,594]acq stopped
1564757392:[MRMAID,557]acq started
1564757437:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564757439:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757441:[PRESS , 95]P  +7230mbar,T-14077mdegC
1564757443:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757450:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757455:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757457:[PRESS , 95]P  +7240mbar,T +2077mdegC
1564757459:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757463:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757463:[MRMAID,594]acq stopped
1564757466:[MRMAID,557]acq started
1564757513:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757515:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757517:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757520:[PRESS , 95]P  +7240mbar,T-14077mdegC
1564757522:[PRESS , 95]P  +7240mbar,T +2077mdegC
1564757524:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757526:[PRESS , 95]P  +7260mbar,T +2077mdegC
1564757528:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757531:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757533:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757537:[MRMAID,594]acq stopped
1564757540:[MRMAID,557]acq started
1564757587:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757589:[PRESS , 95]P  +7250mbar,T+26768mdegC
1564757591:[PRESS , 95]P  +7250mbar,T-14077mdegC
1564757593:[PRESS , 95]P  +7240mbar,T+26768mdegC
1564757594:[PRESS , 95]P  +7250mbar,T +2077mdegC
1564757596:[PRESS , 95]P  +7260mbar,T+26768mdegC
