1557686269:[MONITR,461]battery 14805mV,   67588uA
1557686314:[PRESS , 95]P  +7340mbar,T-24417mdegC
1557686315:[PRESS , 95]P  +7350mbar,T+28966mdegC
1557686321:[PRESS , 95]P  +7350mbar,T-24417mdegC
1557686323:[PRESS , 95]P  +7340mbar,T+28966mdegC
1557686324:[PRESS , 95]P  +7340mbar,T +2275mdegC
1557686328:[PRESS , 95]P  +7330mbar,T+28966mdegC
1557686330:[PRESS , 95]P  +7330mbar,T +2275mdegC
1557686333:[PRESS , 95]P  +7320mbar,T+28966mdegC
1557686342:[PUMP  ,367]during 15048ms
1557686343:[MONITR,461]battery 14278mV,  321226uA
1557686358:[MONITR,461]battery 14812mV,   66490uA
1557686399:[PRESS , 95]P  +7300mbar,T -9880mdegC
1557686401:[PRESS , 95]P  +7300mbar,T+28966mdegC
1557686404:[PRESS , 95]P  +7290mbar,T +2275mdegC
1557686406:[PRESS , 95]P  +7300mbar,T+28966mdegC
1557686408:[PRESS , 95]P  +7290mbar,T-24417mdegC
1557686410:[PRESS , 95]P  +7300mbar,T +2275mdegC
1557686413:[PRESS , 95]P  +7300mbar,T+28966mdegC
1557686415:[PRESS , 95]P  +7290mbar,T +2275mdegC
1557686417:[PRESS , 95]P  +7290mbar,T+28966mdegC
1557686419:[PRESS , 95]P  +7300mbar,T +2275mdegC
1557686421:[PRESS , 95]P  +7300mbar,T+28966mdegC
1557686423:[PRESS , 95]P  +7290mbar,T +2275mdegC
1557686431:[PUMP  ,367]during 17543ms
1557686432:[MONITR,461]battery 14277mV,  317810uA
1557686449:[MONITR,461]battery 14770mV,   89792uA
1557686486:[PRESS , 95]P  +7240mbar,T+28966mdegC
1557686488:[PRESS , 95]P  +7240mbar,T +2275mdegC
1557686492:[PRESS , 95]P  +7240mbar,T-24417mdegC
1557686494:[PRESS , 95]P  +7240mbar,T+28966mdegC
1557686495:[PRESS , 95]P  +7240mbar,T +2275mdegC
1557686508:[PRESS , 95]P  +7240mbar,T-24417mdegC
1557686510:[PRESS , 95]P  +7230mbar,T +2275mdegC
1557686511:[PRESS , 95]P  +7230mbar,T-24417mdegC
1557686520:[PUMP  ,367]during 17571ms
1557686521:[MONITR,461]battery 14287mV,  316224uA
1557686539:[MONITR,461]battery 14802mV,   69662uA
1557686575:[PRESS , 95]P  +7200mbar,T+28966mdegC
1557686577:[PRESS , 95]P  +7210mbar,T +2275mdegC
1557686579:[PRESS , 95]P  +7200mbar,T -9880mdegC
1557686581:[PRESS , 95]P  +7190mbar,T+28966mdegC
1557686586:[PRESS , 95]P  +7190mbar,T +2275mdegC
1557686588:[PRESS , 95]P  +7200mbar,T-24417mdegC
1557686591:[PRESS , 95]P  +7180mbar,T +2275mdegC
1557686600:[PRESS , 95]P  +7180mbar,T+28966mdegC
1557686608:[PUMP  ,367]during 15051ms
1557686610:[MONITR,461]battery 14290mV,  317322uA
1557686624:[MONITR,461]battery 14542mV,  227164uA
1557686625:[MONITR,461]battery 14812mV,   65880uA
1557686664:[PRESS , 81]P  +7120mbar,T +2275mdegC
1557686666:[PRESS , 95]P  +7120mbar,T+28966mdegC
1557686673:[PRESS , 95]P  +7100mbar,T +2275mdegC
1557686675:[PRESS , 95]P  +7100mbar,T+28966mdegC
1557686677:[PRESS , 95]P  +7100mbar,T +2275mdegC
1557686680:[PRESS , 95]P  +7090mbar,T+28966mdegC
1557686682:[PRESS , 95]P  +7100mbar,T-24417mdegC
1557686684:[PRESS , 95]P  +7090mbar,T +2275mdegC
1557686686:[PRESS , 95]P  +7090mbar,T+28966mdegC
1557686688:[PRESS , 95]P  +7090mbar,T-24417mdegC
1557686689:[PRESS , 95]P  +7090mbar,T +2275mdegC
1557686698:[PUMP  ,367]during 15010ms
1557686698:[MONITR,461]battery 14583mV,  166774uA
1557686699:[MONITR,461]battery 14286mV,  319152uA
1557686713:[MONITR,461]battery 14591mV,  200812uA
1557686714:[MONITR,461]battery 14815mV,   66246uA
1557686753:[PRESS , 95]P  +7050mbar,T+28966mdegC
1557686755:[PRESS , 95]P  +7060mbar,T +2275mdegC
1557686757:[PRESS , 95]P  +7060mbar,T+28966mdegC
1557686759:[PRESS , 95]P  +7050mbar,T-24417mdegC
1557686760:[PRESS , 95]P  +7050mbar,T +2275mdegC
1557686762:[PRESS , 95]P  +7060mbar,T+28966mdegC
1557686764:[PRESS , 95]P  +7050mbar,T-24417mdegC
1557686766:[PRESS , 95]P  +7050mbar,T+28966mdegC
1557686768:[PRESS , 95]P  +7050mbar,T +2275mdegC
1557686770:[PRESS , 95]P  +7050mbar,T+28966mdegC
1557686771:[PRESS , 95]P  +7050mbar,T-24417mdegC
1557686773:[PRESS , 95]P  +7050mbar,T +2275mdegC
1557686777:[PRESS , 95]P  +7020mbar,T-24417mdegC
1557686779:[PRESS , 95]P  +7030mbar,T +2275mdegC
1557686779:[MAIN  ,646]stage[1]
1557686781:[MAIN  ,651]internal pressure 81404Pa
1557686782:[MRMAID,557]acq started
1557686792:[BUOY  ,677]P  +7030mbar
1557686794:[PRESS , 95]P  +7040mbar,T -9880mdegC
1557686803:[PUMP  ,367]during 15000ms
1557686804:[MONITR,461]battery 14307mV,  292434uA
1557686819:[MONITR,461]battery 14787mV,   86132uA
1557686835:[MRMAID,658]stop canceled
1557686868:[PRESS , 81]P  +6950mbar,T+28966mdegC
1557686872:[PRESS , 95]P  +6950mbar,T +2275mdegC
1557686886:[PRESS , 95]P  +6930mbar,T-24417mdegC
1557686888:[PRESS , 95]P  +6940mbar,T +2275mdegC
1557686893:[PRESS , 95]P  +6920mbar,T+28966mdegC
1557686893:[MRMAID,594]acq stopped
1557686902:[PUMP  ,367]during 15051ms
1557686903:[MONITR,461]battery 14530mV,  195688uA
1557686904:[MONITR,461]battery 14293mV,  314760uA
1557686918:[MONITR,461]battery 14626mV,  181292uA
1557686919:[MONITR,461]battery 14825mV,   65636uA
1557686920:[MRMAID,557]acq started
1557686967:[PRESS , 81]P  +6820mbar,T+28966mdegC
1557686971:[PRESS , 95]P  +6800mbar,T +2275mdegC
1557686972:[PRESS , 95]P  +6810mbar,T-24417mdegC
1557686976:[PRESS , 95]P  +6810mbar,T+28966mdegC
1557686980:[PRESS , 95]P  +6800mbar,T +2275mdegC
1557686985:[PRESS , 95]P  +6790mbar,T+28966mdegC
1557686987:[PRESS , 95]P  +6790mbar,T +2275mdegC
1557686989:[PRESS , 95]P  +6780mbar,T-24417mdegC
1557686990:[PRESS , 95]P  +6780mbar,T +2275mdegC
1557686992:[MRMAID,594]acq stopped
1557687001:[PUMP  ,367]during 14987ms
1557687002:[MONITR,461]battery 14528mV,  191296uA
1557687003:[MONITR,461]battery 14285mV,  320006uA
1557687017:[MONITR,461]battery 14633mV,  181414uA
1557687018:[MONITR,461]battery 14822mV,   67344uA
1557687019:[MRMAID,557]acq started
1557687066:[PRESS , 95]P  +6740mbar,T-24417mdegC
1557687068:[PRESS , 95]P  +6720mbar,T+28966mdegC
1557687071:[PRESS , 95]P  +6730mbar,T +2275mdegC
1557687073:[PRESS , 95]P  +6730mbar,T-24417mdegC
1557687075:[PRESS , 95]P  +6720mbar,T +2275mdegC
1557687082:[PRESS , 95]P  +6710mbar,T+28966mdegC
1557687086:[PRESS , 95]P  +6710mbar,T-24417mdegC
1557687088:[PRESS , 95]P  +6710mbar,T +2275mdegC
1557687089:[PRESS , 95]P  +6700mbar,T+28966mdegC
1557687091:[PRESS , 95]P  +6700mbar,T +2275mdegC
