1557682923:[PRESS , 95]P  +3620mbar,T +2275mdegC
1557682925:[PRESS , 95]P  +3610mbar,T+28966mdegC
1557682926:[PRESS , 95]P  +3590mbar,T +2275mdegC
1557682928:[PRESS , 95]P  +3580mbar,T+14426mdegC
1557682936:[PUMP  ,367]during 60000ms
1557682938:[MONITR,461]battery 14255mV,  301828uA
1557682998:[MONITR,461]battery 14718mV,   66002uA
1557683053:[PRESS , 81]P  +2540mbar,T+28966mdegC
1557683055:[PRESS , 95]P  +2510mbar,T +2275mdegC
1557683058:[PRESS , 95]P  +2510mbar,T-24417mdegC
1557683060:[PRESS , 95]P  +2490mbar,T+28966mdegC
1557683066:[PRESS , 95]P  +2450mbar,T-24417mdegC
1557683067:[PRESS , 95]P  +2420mbar,T +2275mdegC
1557683071:[PRESS , 95]P  +2400mbar,T-24417mdegC
1557683073:[PRESS , 95]P  +2390mbar,T +2275mdegC
1557683078:[PRESS , 95]P  +2340mbar,T-24417mdegC
1557683200:[PRESS , 81]P  +1440mbar,T -9880mdegC
1557683208:[PUMP  ,367]during 60000ms
1557683209:[MONITR,461]battery 14247mV,  280356uA
1557683269:[MONITR,461]battery 14697mV,  105774uA
1557683324:[PRESS , 81]P   +600mbar,T +2275mdegC
1557683330:[PRESS , 95]P   +570mbar,T+28966mdegC
1557683333:[PRESS , 95]P   +550mbar,T-24417mdegC
1557683335:[PRESS , 95]P   +530mbar,T+28966mdegC
1557683339:[PRESS , 95]P   +510mbar,T +2275mdegC
1557683344:[PRESS , 95]P   +480mbar,T+28966mdegC
1557683353:[PRESS , 95]P   +450mbar,T +2275mdegC
1557683353:[SURFIN, 82]filling external bladder
1557683361:[PUMP  ,367]during 300000ms
1557683363:[MONITR,461]battery 13847mV,  808128uA
1557683661:[MONITR,461]battery 13906mV,  681126uA
1557683662:[MONITR,461]battery 14313mV,  112972uA
1557683671:[PUMP  ,367]during 300000ms
1557683671:[MONITR,461]battery 14226mV,  292800uA
1557683673:[MONITR,461]battery 13810mV,  884256uA
1557683682:[MONITR,461]battery 14247mV,  255590uA
1557683683:[SURFIN,117]external bladder full
1557683683:[MONITR,461]battery 14431mV,   61366uA
1557683684:[PRESS , 81]P   +170mbar,T+28966mdegC
1557683686:[PRESS , 95]P   +170mbar,T +2275mdegC
1557683692:[PRESS , 95]P   +190mbar,T+28966mdegC
1557683697:[PRESS , 95]P   +180mbar,T +2275mdegC
1557683699:[PRESS , 95]P   +170mbar,T+28966mdegC
1557683702:[PRESS , 95]P   +170mbar,T +2275mdegC
1557683704:[PRESS , 95]P   +190mbar,T+28966mdegC
1557683706:[PRESS , 95]P   +180mbar,T +2275mdegC
1557683725:[MONITR,461]battery 14688mV,   32574uA
1557683745:[MAIN  ,498]Vbat 14694mV (min 12760mV)
1557683748:[MAIN  ,503]Pint 79489Pa
1557683748:[MAIN  ,507]Pext 178mbar (rng 20mbar)
1557683748:[MAIN  ,514]surface
1557683749:[MONITR,461]battery 14543mV,  145668uA
1557683754:[SURF  ,428]GPS fix...
1557683808:[SURF  ,445]10 PPS detected...
1557683809:[MRMAID,645]$GPSACK:+0,+0,+0,+0,+0,+0,-976;
1557683819:[MRMAID,650]$GPSOFF:3686342;
1557683821:[SURF  ,400]N43deg40.930mn, E007deg19.184mn
1557683821:[SURF  ,407]hdop 1.170, vdop 1.500
1557683832:[MONITR,461]battery 14803mV,   32452uA
1557683907:[MRMAID,604]26024 bytes in 0014/5CD85E7C.MER
1557683912:*** switching to 0014/5CD85EC8 ***
