1560245632:[OILLVL,113]0/5 hit(s), unswitched
1560245633:[OILLVL,113]0/5 hit(s), unswitched
1560245634:[OILLVL,113]0/5 hit(s), unswitched
1560245635:[OILLVL,113]0/5 hit(s), unswitched
1560245636:[OILLVL,113]0/5 hit(s), unswitched
1560245637:[OILLVL,113]0/5 hit(s), unswitched
1560245638:[OILLVL,113]0/5 hit(s), unswitched
1560245639:[OILLVL,113]0/5 hit(s), unswitched
1560245640:[OILLVL,113]0/5 hit(s), unswitched
1560245641:[OILLVL,113]0/5 hit(s), unswitched
1560245642:[OILLVL,113]0/5 hit(s), unswitched
1560245643:[OILLVL,113]0/5 hit(s), unswitched
1560245644:[OILLVL,113]0/5 hit(s), unswitched
1560245645:[OILLVL,113]0/5 hit(s), unswitched
1560245646:[OILLVL,113]0/5 hit(s), unswitched
1560245648:[OILLVL,113]0/5 hit(s), unswitched
1560245649:[OILLVL,113]0/5 hit(s), unswitched
1560245650:[OILLVL,113]0/5 hit(s), unswitched
1560245651:[OILLVL,113]0/5 hit(s), unswitched
1560245652:[OILLVL,113]0/5 hit(s), unswitched
1560245653:[OILLVL,113]0/5 hit(s), unswitched
1560245654:[OILLVL,113]0/5 hit(s), unswitched
1560245655:[OILLVL,113]0/5 hit(s), unswitched
1560245656:[OILLVL,113]0/5 hit(s), unswitched
1560245657:[OILLVL,113]0/5 hit(s), unswitched
1560245658:[OILLVL,113]0/5 hit(s), unswitched
1560245659:[OILLVL,113]0/5 hit(s), unswitched
1560245660:[OILLVL,113]0/5 hit(s), unswitched
1560245661:[OILLVL,113]0/5 hit(s), unswitched
1560245662:[OILLVL,113]0/5 hit(s), unswitched
1560245663:[OILLVL,113]0/5 hit(s), unswitched
1560245664:[OILLVL,113]0/5 hit(s), unswitched
1560245665:[OILLVL,113]0/5 hit(s), unswitched
1560245666:[OILLVL,113]0/5 hit(s), unswitched
1560245667:[OILLVL,113]0/5 hit(s), unswitched
1560245668:[OILLVL,113]0/5 hit(s), unswitched
1560245670:[OILLVL,113]0/5 hit(s), unswitched
1560245671:[OILLVL,113]0/5 hit(s), unswitched
1560245672:[OILLVL,113]0/5 hit(s), unswitched
1560245673:[OILLVL,113]0/5 hit(s), unswitched
1560245674:[OILLVL,113]0/5 hit(s), unswitched
1560245675:[OILLVL,113]0/5 hit(s), unswitched
1560245676:[OILLVL,113]0/5 hit(s), unswitched
1560245677:[OILLVL,113]0/5 hit(s), unswitched
1560245678:[OILLVL,113]0/5 hit(s), unswitched
1560245679:[OILLVL,113]0/5 hit(s), unswitched
1560245680:[OILLVL,113]0/5 hit(s), unswitched
1560245681:[OILLVL,113]0/5 hit(s), unswitched
1560245682:[OILLVL,113]0/5 hit(s), unswitched
1560245683:[OILLVL,113]0/5 hit(s), unswitched
1560245684:[OILLVL,113]0/5 hit(s), unswitched
1560245685:[OILLVL,113]0/5 hit(s), unswitched
1560245686:[OILLVL,113]0/5 hit(s), unswitched
1560245687:[OILLVL,113]0/5 hit(s), unswitched
1560245688:[OILLVL,113]0/5 hit(s), unswitched
1560245689:[OILLVL,113]0/5 hit(s), unswitched
1560245690:[OILLVL,113]0/5 hit(s), unswitched
1560245692:[OILLVL,113]0/5 hit(s), unswitched
1560245693:[OILLVL,113]0/5 hit(s), unswitched
1560245694:[OILLVL,113]0/5 hit(s), unswitched
1560245695:[OILLVL,113]0/5 hit(s), unswitched
1560245696:[OILLVL,113]0/5 hit(s), unswitched
1560245696:[MONITR,461]battery 14413mV, 1546960uA
1560245697:[OILLVL,113]0/5 hit(s), unswitched
1560245698:[OILLVL,113]0/5 hit(s), unswitched
1560245699:[OILLVL,113]0/5 hit(s), unswitched
1560245700:[OILLVL,113]0/5 hit(s), unswitched
1560245701:[OILLVL,113]0/5 hit(s), unswitched
1560245702:[OILLVL,113]0/5 hit(s), unswitched
1560245703:[OILLVL,113]0/5 hit(s), unswitched
1560245704:[OILLVL,113]1/5 hit(s), unswitched
1560245705:[OILLVL,113]5/5 hit(s), switched
1560245706:[OILLVL,113]5/5 hit(s), switched
1560245707:[OILLVL,113]5/5 hit(s), switched
1560245708:[MONITR,461]battery 14651mV,  514108uA
1560245709:[SURFIN,117]external bladder full
1560245709:[TESTMD, 73]pump run 98s
1560245710:[MONITR,461]battery 14816mV,   53436uA
1560245714:[TESTMD, 81]test done
1560245772:[TESTMD,364]"act"
1560245772:[SURFIN, 82]filling external bladder
1560245773:[OILLVL,113]4/5 hit(s), switched
1560245775:[OILLVL,113]5/5 hit(s), switched
1560245775:[MONITR,461]battery 15091mV,   12444uA
1560245776:[OILLVL,113]5/5 hit(s), switched
1560245776:[SURFIN,117]external bladder full
1560245781:[VALVE ,129]opening for 30000ms
1560245782:[MONITR,461]battery 14833mV,  629642uA
1560245811:[MONITR,461]battery 14890mV,  429806uA
1560245816:[SURFIN, 82]filling external bladder
1560245817:[OILLVL,113]0/5 hit(s), unswitched
1560245818:[OILLVL,113]0/5 hit(s), unswitched
1560245818:[MONITR,461]battery 15093mV,   12688uA
1560245819:[OILLVL,113]0/5 hit(s), unswitched
1560245824:[PUMP  ,367]during 300000ms
1560245825:[MONITR,461]battery 14913mV,  434686uA
1560245825:[OILLVL,113]0/5 hit(s), unswitched
1560245826:[MONITR,461]battery 14602mV, 1551718uA
1560245826:[OILLVL,113]0/5 hit(s), unswitched
1560245827:[OILLVL,113]0/5 hit(s), unswitched
1560245828:[OILLVL,113]0/5 hit(s), unswitched
1560245829:[OILLVL,113]4/5 hit(s), switched
1560245830:[OILLVL,113]5/5 hit(s), switched
1560245831:[OILLVL,113]5/5 hit(s), switched
1560245832:[MONITR,461]battery 14621mV, 1413614uA
1560245833:[MONITR,461]battery 14940mV,  224480uA
1560245833:[SURFIN,117]external bladder full
1560245833:[TESTMD, 60]pump run 7s
1560245834:[MONITR,461]battery 15038mV,   34770uA
1560245838:[BYPASS,147]opening 30000ms
1560245840:[MONITR,461]battery 14887mV,  410042uA
1560245844:[MONITR,461]battery 15020mV,  118462uA
1560245846:[MONITR,461]battery 15087mV,   12932uA
1560245874:[MONITR,461]battery 14990mV,  307928uA
1560245876:[MONITR,461]battery 14937mV,  407968uA
1560245879:[MONITR,461]battery 15008mV,  258274uA
1560245883:[SURFIN, 82]filling external bladder
1560245884:[OILLVL,113]0/5 hit(s), unswitched
1560245885:[OILLVL,113]0/5 hit(s), unswitched
1560245886:[MONITR,461]battery 15150mV,   12932uA
1560245887:[OILLVL,113]0/5 hit(s), unswitched
1560245892:[PUMP  ,367]during 300000ms
1560245893:[MONITR,461]battery 14916mV,  582550uA
1560245893:[OILLVL,113]0/5 hit(s), unswitched
1560245894:[OILLVL,113]0/5 hit(s), unswitched
1560245894:[MONITR,461]battery 14640mV, 1584780uA
1560245895:[OILLVL,113]0/5 hit(s), unswitched
1560245896:[OILLVL,113]0/5 hit(s), unswitched
1560245897:[OILLVL,113]0/5 hit(s), unswitched
1560245898:[OILLVL,113]0/5 hit(s), unswitched
1560245899:[OILLVL,113]0/5 hit(s), unswitched
1560245900:[OILLVL,113]0/5 hit(s), unswitched
1560245901:[OILLVL,113]0/5 hit(s), unswitched
1560245902:[OILLVL,113]0/5 hit(s), unswitched
1560245903:[OILLVL,113]0/5 hit(s), unswitched
1560245904:[OILLVL,113]0/5 hit(s), unswitched
1560245905:[OILLVL,113]0/5 hit(s), unswitched
1560245906:[OILLVL,113]0/5 hit(s), unswitched
1560245907:[OILLVL,113]0/5 hit(s), unswitched
1560245908:[OILLVL,113]0/5 hit(s), unswitched
1560245910:[OILLVL,113]0/5 hit(s), unswitched
1560245911:[OILLVL,113]0/5 hit(s), unswitched
1560245912:[OILLVL,113]0/5 hit(s), unswitched
1560245913:[OILLVL,113]0/5 hit(s), unswitched
1560245914:[OILLVL,113]0/5 hit(s), unswitched
1560245915:[OILLVL,113]0/5 hit(s), unswitched
1560245916:[OILLVL,113]0/5 hit(s), unswitched
1560245917:[OILLVL,113]0/5 hit(s), unswitched
1560245918:[OILLVL,113]0/5 hit(s), unswitched
1560245919:[OILLVL,113]0/5 hit(s), unswitched
1560245920:[OILLVL,113]0/5 hit(s), unswitched
1560245921:[OILLVL,113]0/5 hit(s), unswitched
1560245922:[OILLVL,113]0/5 hit(s), unswitched
1560245923:[OILLVL,113]0/5 hit(s), unswitched
1560245924:[OILLVL,113]0/5 hit(s), unswitched
1560245925:[OILLVL,113]0/5 hit(s), unswitched
1560245926:[OILLVL,113]0/5 hit(s), unswitched
1560245927:[OILLVL,113]0/5 hit(s), unswitched
1560245928:[OILLVL,113]0/5 hit(s), unswitched
1560245929:[OILLVL,113]0/5 hit(s), unswitched
1560245930:[OILLVL,113]0/5 hit(s), unswitched
1560245932:[OILLVL,113]0/5 hit(s), unswitched
1560245933:[OILLVL,113]0/5 hit(s), unswitched
