1557676008:[MONITR,461]battery 14517mV,  308782uA
1557676059:[MONITR,461]battery 14838mV,   65758uA
1557676114:[PRESS , 81]P  +5160mbar,T +2275mdegC
1557676118:[PRESS , 95]P  +5150mbar,T+28966mdegC
1557676119:[PRESS , 95]P  +5140mbar,T +2275mdegC
1557676121:[PRESS , 95]P  +5140mbar,T+28966mdegC
1557676125:[PRESS , 95]P  +5120mbar,T +2275mdegC
1557676127:[PRESS , 95]P  +5110mbar,T+14426mdegC
1557676128:[PRESS , 95]P  +5100mbar,T-24417mdegC
1557676130:[PRESS , 95]P  +5100mbar,T +2275mdegC
1557676136:[PRESS , 95]P  +5080mbar,T-24417mdegC
1557676137:[PRESS , 95]P  +5070mbar,T +2275mdegC
1557676147:[PUMP  ,367]during 60000ms
1557676149:[MONITR,461]battery 14277mV,  296094uA
1557676208:[MONITR,461]battery 14685mV,  118340uA
1557676264:[PRESS , 81]P  +4500mbar,T +2275mdegC
1557676266:[PRESS , 95]P  +4490mbar,T+28966mdegC
1557676268:[PRESS , 95]P  +4480mbar,T +2275mdegC
1557676271:[PRESS , 95]P  +4450mbar,T+28966mdegC
1557676278:[PRESS , 95]P  +4410mbar,T-24417mdegC
1557676280:[PRESS , 95]P  +4400mbar,T+28966mdegC
1557676282:[PRESS , 95]P  +4380mbar,T-24417mdegC
1557676284:[PRESS , 95]P  +4380mbar,T +2275mdegC
1557676285:[PRESS , 95]P  +4370mbar,T+28966mdegC
1557676287:[PRESS , 95]P  +4360mbar,T +2275mdegC
1557676289:[PRESS , 95]P  +4350mbar,T+28966mdegC
1557676297:[PUMP  ,367]during 60000ms
1557676299:[MONITR,461]battery 14251mV,  311954uA
1557676359:[MONITR,461]battery 14727mV,   69418uA
1557676414:[PRESS , 81]P  +3440mbar,T +2275mdegC
1557676416:[PRESS , 95]P  +3440mbar,T+28966mdegC
1557676419:[PRESS , 95]P  +3400mbar,T +2275mdegC
1557676421:[PRESS , 95]P  +3390mbar,T+28966mdegC
1557676423:[PRESS , 95]P  +3360mbar,T-24417mdegC
1557676425:[PRESS , 95]P  +3360mbar,T+28966mdegC
1557676426:[PRESS , 95]P  +3340mbar,T +2275mdegC
1557676428:[PRESS , 95]P  +3330mbar,T-24417mdegC
1557676430:[PRESS , 95]P  +3320mbar,T +2275mdegC
1557676437:[PRESS , 81]P  +3260mbar,T-24417mdegC
1557676561:[PRESS , 81]P  +2260mbar,T+28966mdegC
1557676682:[PRESS , 81]P  +1380mbar,T+28966mdegC
1557676804:[PRESS , 81]P   +600mbar,T +2275mdegC
1557676812:[PUMP  ,367]during 60000ms
1557676813:[MONITR,461]battery 14277mV,  289872uA
1557676873:[MONITR,461]battery 14811mV,   67710uA
1557676928:[PRESS , 81]P     +0mbar,T+28966mdegC
1557676932:[PRESS , 95]P    +10mbar,T +2275mdegC
1557676934:[PRESS , 95]P    +10mbar,T-24417mdegC
1557676936:[PRESS , 95]P    +10mbar,T +2275mdegC
1557676937:[PRESS , 95]P     +0mbar,T+28966mdegC
1557676941:[PRESS , 95]P    -10mbar,T -9880mdegC
1557676943:[PRESS , 95]P     +0mbar,T +2275mdegC
1557676945:[PRESS , 95]P    -10mbar,T-24417mdegC
1557676946:[PRESS , 95]P    -10mbar,T +2275mdegC
1557676950:[PRESS , 95]P    +10mbar,T-24417mdegC
1557676952:[PRESS , 95]P    +10mbar,T+28966mdegC
1557676954:[PRESS , 95]P     +0mbar,T +2275mdegC
1557676955:[PRESS , 95]P    +10mbar,T-24417mdegC
1557676957:[PRESS , 95]P    +10mbar,T +2275mdegC
1557676957:[SURFIN, 82]filling external bladder
1557676965:[PUMP  ,367]during 300000ms
1557676967:[MONITR,461]battery 13885mV,  814472uA
1557677265:[MONITR,461]battery 13941mV,  665510uA
1557677267:[MONITR,461]battery 14348mV,  106872uA
1557677275:[PUMP  ,367]during 300000ms
1557677276:[MONITR,461]battery 14232mV,  312564uA
1557677277:[MONITR,461]battery 13832mV,  885598uA
1557677291:[MONITR,461]battery 14091mV,  498248uA
1557677292:[SURFIN,117]external bladder full
1557677292:[MONITR,461]battery 14430mV,   73322uA
1557677294:[PRESS , 81]P   +160mbar,T +2275mdegC
1557677299:[PRESS , 95]P   +170mbar,T+28966mdegC
1557677301:[PRESS , 95]P   +170mbar,T-24417mdegC
1557677303:[PRESS , 95]P   +180mbar,T +2275mdegC
1557677306:[PRESS , 95]P   +170mbar,T -9880mdegC
1557677308:[PRESS , 95]P   +170mbar,T+28966mdegC
