1576183783:[PRESS , 95]P  +6860mbar,T +2534mdegC
1576183785:[PRESS , 95]P  +6860mbar,T+28117mdegC
1576183787:[PRESS , 95]P  +6870mbar,T +2534mdegC
1576184089:[PRESS , 95]P  +8040mbar,T+28117mdegC
1576184091:[PRESS , 95]P  +8040mbar,T-11839mdegC
1576184092:[PRESS , 95]P  +8040mbar,T+28117mdegC
1576184096:[PRESS , 95]P  +8070mbar,T-11839mdegC
1576184098:[PRESS , 95]P  +8060mbar,T+28117mdegC
1576184101:[PRESS , 95]P  +8080mbar,T-11839mdegC
1576184105:[PRESS , 95]P  +8100mbar,T+28117mdegC
1576184110:[PRESS , 95]P  +8120mbar,T +2534mdegC
1576184114:[PRESS , 95]P  +8120mbar,T+28117mdegC
1576184423:[PRESS , 95]P  +9080mbar,T-11839mdegC
1576184425:[PRESS , 95]P  +9080mbar,T+28117mdegC
1576184430:[PRESS , 95]P  +9090mbar,T +2534mdegC
1576184434:[PRESS , 95]P  +9090mbar,T+28117mdegC
1576184439:[PRESS , 95]P  +9100mbar,T +2534mdegC
1576184739:[PRESS , 95]P  +9890mbar,T+28117mdegC
1576184750:[PRESS , 95]P  +9920mbar,T-11839mdegC
1576184752:[PRESS , 95]P  +9930mbar,T +2534mdegC
1576184755:[PRESS , 95]P  +9940mbar,T+28117mdegC
1576184761:[PRESS , 95]P  +9950mbar,T-11839mdegC
1576184762:[PRESS , 95]P  +9960mbar,T+28117mdegC
1576184764:[PRESS , 95]P  +9960mbar,T +2534mdegC
1576185064:[PRESS , 95]P +11060mbar,T+28117mdegC
1576185070:[PRESS , 95]P +11080mbar,T +2534mdegC
1576185075:[PRESS , 95]P +11100mbar,T+28117mdegC
1576185077:[PRESS , 95]P +11110mbar,T+13740mdegC
1576185079:[PRESS , 95]P +11120mbar,T+28117mdegC
1576185082:[PRESS , 95]P +11130mbar,T-23048mdegC
1576185084:[PRESS , 95]P +11150mbar,T +2534mdegC
1576185086:[PRESS , 95]P +11150mbar,T+28117mdegC
1576185089:[PRESS , 95]P +11160mbar,T +2534mdegC
1576185390:[PRESS , 95]P +12380mbar,T-11839mdegC
1576185393:[PRESS , 95]P +12380mbar,T+28117mdegC
1576185402:[PRESS , 95]P +12410mbar,T +2534mdegC
1576185406:[PRESS , 95]P +12420mbar,T+28117mdegC
1576185411:[PRESS , 95]P +12450mbar,T-11839mdegC
1576185413:[PRESS , 95]P +12440mbar,T +2534mdegC
1576185715:[PRESS , 95]P +13150mbar,T-11839mdegC
1576185717:[PRESS , 95]P +13150mbar,T +2534mdegC
1576185718:[PRESS , 95]P +13150mbar,T+28117mdegC
1576185722:[PRESS , 95]P +13170mbar,T +2534mdegC
1576185724:[PRESS , 95]P +13160mbar,T+28117mdegC
1576185727:[PRESS , 95]P +13160mbar,T-23048mdegC
1576185729:[PRESS , 95]P +13170mbar,T +2534mdegC
1576185733:[PRESS , 95]P +13170mbar,T+28117mdegC
1576185734:[PRESS , 95]P +13180mbar,T +2534mdegC
1576185736:[PRESS , 95]P +13180mbar,T+28117mdegC
1576185738:[PRESS , 95]P +13180mbar,T-23048mdegC
1576185740:[PRESS , 95]P +13180mbar,T +2534mdegC
1576185740:[VALVE ,129]opening for 2684ms
1576186045:[PRESS , 95]P +14170mbar,T-11839mdegC
1576186047:[PRESS , 95]P +14180mbar,T+28117mdegC
1576186053:[PRESS , 95]P +14200mbar,T +2534mdegC
1576186054:[PRESS , 95]P +14200mbar,T+28117mdegC
1576186056:[PRESS , 95]P +14210mbar,T +2534mdegC
1576186063:[PRESS , 95]P +14230mbar,T-23048mdegC
1576186065:[PRESS , 95]P +14240mbar,T+28117mdegC
1576186367:[PRESS , 95]P +15550mbar,T +2534mdegC
1576186369:[PRESS , 95]P +15550mbar,T+28117mdegC
1576186378:[PRESS , 95]P +15580mbar,T +2534mdegC
1576186383:[PRESS , 95]P +15600mbar,T+28117mdegC
1576186385:[PRESS , 95]P +15620mbar,T +2534mdegC
1576186387:[PRESS , 95]P +15620mbar,T-23048mdegC
1576186388:[PRESS , 95]P +15640mbar,T+28117mdegC
1576186390:[PRESS , 95]P +15640mbar,T +2534mdegC
1576186690:[PRESS , 95]P +17010mbar,T+28117mdegC
1576186692:[PRESS , 95]P +17020mbar,T +2534mdegC
1576186694:[PRESS , 95]P +17030mbar,T+28117mdegC
1576186696:[PRESS , 95]P +17030mbar,T +2534mdegC
1576186698:[PRESS , 95]P +17050mbar,T+28117mdegC
1576186703:[PRESS , 95]P +17060mbar,T +2534mdegC
1576186705:[PRESS , 95]P +17080mbar,T+28117mdegC
1576186708:[PRESS , 95]P +17090mbar,T-23048mdegC
1576186710:[PRESS , 95]P +17100mbar,T +2534mdegC
1576186714:[PRESS , 95]P +17100mbar,T+28117mdegC
1576186716:[PRESS , 95]P +17120mbar,T +2534mdegC
1576187016:[PRESS , 95]P +18280mbar,T+28117mdegC
1576187018:[PRESS , 95]P +18280mbar,T +2534mdegC
1576187023:[PRESS , 95]P +18300mbar,T+28117mdegC
1576187025:[PRESS , 95]P +18300mbar,T-11839mdegC
1576187027:[PRESS , 95]P +18320mbar,T +2534mdegC
1576187041:[PRESS , 95]P +18370mbar,T+28117mdegC
1576187341:[PRESS , 95]P +19330mbar,T +2534mdegC
1576187343:[PRESS , 95]P +19330mbar,T+28117mdegC
1576187345:[PRESS , 95]P +19340mbar,T +2534mdegC
1576187350:[PRESS , 95]P +19360mbar,T+28117mdegC
1576187352:[PRESS , 95]P +19350mbar,T +2534mdegC
1576187355:[PRESS , 95]P +19380mbar,T+28117mdegC
1576187357:[PRESS , 95]P +19390mbar,T +2534mdegC
1576187359:[PRESS , 95]P +19380mbar,T-23048mdegC
1576187362:[PRESS , 95]P +19400mbar,T +2534mdegC
1576187366:[PRESS , 95]P +19410mbar,T-23048mdegC
1576187666:[PRESS , 95]P +20420mbar,T +2534mdegC
1576187668:[PRESS , 95]P +20430mbar,T+28117mdegC
1576187670:[PRESS , 95]P +20430mbar,T-23048mdegC
1576187672:[PRESS , 95]P +20440mbar,T +2534mdegC
1576187675:[PRESS , 95]P +20440mbar,T+28117mdegC
1576187677:[PRESS , 95]P +20460mbar,T-11839mdegC
1576187679:[PRESS , 95]P +20470mbar,T+28117mdegC
1576187681:[PRESS , 95]P +20470mbar,T +2534mdegC
1576187682:[PRESS , 95]P +20480mbar,T-23048mdegC
1576187688:[PRESS , 95]P +20490mbar,T +2534mdegC
1576187991:[PRESS , 95]P +21660mbar,T+28117mdegC
1576187993:[PRESS , 95]P +21670mbar,T +2534mdegC
1576187995:[PRESS , 95]P +21680mbar,T+28117mdegC
1576187997:[PRESS , 95]P +21690mbar,T +2534mdegC
1576187999:[PRESS , 95]P +21700mbar,T-23048mdegC
1576188000:[PRESS , 95]P +21710mbar,T +2534mdegC
1576188004:[PRESS , 95]P +21720mbar,T+28117mdegC
1576188006:[PRESS , 95]P +21720mbar,T +2534mdegC
1576188008:[PRESS , 95]P +21730mbar,T-23048mdegC
1576188011:[PRESS , 95]P +21740mbar,T +2534mdegC
1576188017:[PRESS , 95]P +21760mbar,T-23048mdegC
1576188320:[PRESS , 95]P +22850mbar,T+28117mdegC
1576188322:[PRESS , 95]P +22860mbar,T +2534mdegC
1576188329:[PRESS , 95]P +22870mbar,T+28117mdegC
1576188333:[PRESS , 95]P +22890mbar,T-23048mdegC
1576188340:[PRESS , 95]P +22910mbar,T+28117mdegC
1576188647:[PRESS , 95]P +23680mbar,T +2534mdegC
1576188652:[PRESS , 95]P +23680mbar,T-23048mdegC
1576188656:[PRESS , 95]P +23700mbar,T +2534mdegC
1576188660:[PRESS , 95]P +23700mbar,T-23048mdegC
1576188665:[PRESS , 95]P +23730mbar,T +2534mdegC
1576188667:[VALVE ,129]opening for 1656ms
1576188978:[PRESS , 95]P +24930mbar,T-23048mdegC
1576188979:[PRESS , 95]P +24930mbar,T +2534mdegC
1576188981:[PRESS , 95]P +24930mbar,T-23048mdegC
1576188987:[PRESS , 95]P +24980mbar,T+16903mdegC
1576188988:[PRESS , 95]P +24980mbar,T +2534mdegC
1576188990:[PRESS , 95]P +24980mbar,T-23048mdegC
1576189292:[PRESS , 95]P +26330mbar,T +2534mdegC
1576189294:[PRESS , 95]P +26340mbar,T+28117mdegC
1576189296:[PRESS , 95]P +26340mbar,T-23048mdegC
1576189297:[PRESS , 95]P +26350mbar,T +2534mdegC
1576189301:[PRESS , 95]P +26380mbar,T-23048mdegC
1576189303:[PRESS , 95]P +26380mbar,T +2534mdegC
1576189306:[PRESS , 95]P +26390mbar,T-23048mdegC
1576189623:[PRESS , 95]P +27990mbar,T+16903mdegC
1576189624:[PRESS , 95]P +28010mbar,T-23048mdegC
1576189626:[PRESS , 95]P +28010mbar,T +2534mdegC
1576189630:[PRESS , 95]P +28030mbar,T-23048mdegC
1576189632:[PRESS , 95]P +28040mbar,T+16903mdegC
1576189633:[PRESS , 95]P +28060mbar,T-23048mdegC
1576189955:[PRESS , 95]P +29660mbar,T +2534mdegC
1576189958:[PRESS , 95]P +29680mbar,T+16903mdegC
1576189960:[PRESS , 95]P +29680mbar,T-23048mdegC
1576189964:[PRESS , 95]P +29700mbar,T+16903mdegC
1576189965:[PRESS , 95]P +29710mbar,T-23048mdegC
1576190271:[PRESS , 95]P +31020mbar,T +2534mdegC
1576190275:[PRESS , 95]P +31030mbar,T-23048mdegC
1576190280:[PRESS , 95]P +31040mbar,T+16903mdegC
1576190282:[PRESS , 95]P +31060mbar,T-23048mdegC
1576190285:[PRESS , 95]P +31080mbar,T+16903mdegC
1576190593:[PRESS , 95]P +32410mbar,T-23048mdegC
1576190594:[PRESS , 95]P +32410mbar,T+16903mdegC
1576190596:[PRESS , 95]P +32410mbar,T-23048mdegC
1576190600:[PRESS , 95]P +32430mbar,T+16903mdegC
1576190602:[PRESS , 95]P +32430mbar,T-23048mdegC
1576190603:[PRESS , 95]P +32440mbar,T +2534mdegC
1576190605:[PRESS , 95]P +32460mbar,T-23048mdegC
1576190607:[PRESS , 95]P +32470mbar,T +2534mdegC
1576190609:[PRESS , 95]P +32470mbar,T+16903mdegC
1576190611:[PRESS , 95]P +32480mbar,T -8682mdegC
1576190612:[PRESS , 95]P +32490mbar,T+16903mdegC
1576190616:[PRESS , 95]P +32510mbar,T-23048mdegC
1576190923:[PRESS , 95]P +33880mbar,T+16903mdegC
1576190925:[PRESS , 95]P +33890mbar,T -8682mdegC
1576190927:[PRESS , 95]P +33900mbar,T-23048mdegC
1576190929:[PRESS , 95]P +33910mbar,T+16903mdegC
1576190930:[PRESS , 95]P +33910mbar,T-23048mdegC
1576190932:[PRESS , 95]P +33930mbar,T+16903mdegC
1576190936:[PRESS , 95]P +33940mbar,T -8682mdegC
1576190938:[PRESS , 95]P +33940mbar,T+16903mdegC
1576190941:[PRESS , 95]P +33950mbar,T -8682mdegC
1576191243:[PRESS , 95]P +35100mbar,T-23048mdegC
1576191245:[PRESS , 95]P +35100mbar,T+16903mdegC
1576191247:[PRESS , 95]P +35110mbar,T-23048mdegC
1576191250:[PRESS , 95]P +35110mbar,T+16903mdegC
1576191254:[PRESS , 95]P +35130mbar,T-23048mdegC
1576191256:[PRESS , 95]P +35130mbar,T+16903mdegC
1576191261:[PRESS , 95]P +35150mbar,T -8682mdegC
1576191263:[PRESS , 95]P +35160mbar,T+16903mdegC
1576191265:[PRESS , 95]P +35170mbar,T+31267mdegC
1576191266:[PRESS , 95]P +35180mbar,T -8682mdegC
1576191268:[PRESS , 95]P +35180mbar,T+16903mdegC
1576191572:[PRESS , 95]P +36020mbar,T -8682mdegC
1576191574:[PRESS , 95]P +36020mbar,T+16903mdegC
1576191577:[PRESS , 95]P +36030mbar,T-23048mdegC
1576191579:[PRESS , 95]P +36030mbar,T -8682mdegC
1576191583:[PRESS , 95]P +36040mbar,T+16903mdegC
1576191586:[PRESS , 95]P +36050mbar,T -8682mdegC
1576191588:[PRESS , 95]P +36050mbar,T+16903mdegC
1576191590:[PRESS , 95]P +36050mbar,T -8682mdegC
1576191592:[PRESS , 95]P +36070mbar,T+16903mdegC
1576191594:[VALVE ,129]opening for 1349ms
1576191894:[PRESS , 95]P +37330mbar,T -8682mdegC
1576191896:[PRESS , 95]P +37350mbar,T+16903mdegC
1576191899:[PRESS , 95]P +37350mbar,T -8682mdegC
1576191901:[PRESS , 95]P +37360mbar,T+16903mdegC
1576191904:[PRESS , 95]P +37390mbar,T -8682mdegC
1576191908:[PRESS , 95]P +37400mbar,T+16903mdegC
1576191912:[PRESS , 95]P +37420mbar,T+31267mdegC
1576191913:[PRESS , 95]P +37430mbar,T+16903mdegC
1576191915:[PRESS , 95]P +37440mbar,T -8682mdegC
1576191917:[PRESS , 95]P +37450mbar,T+16903mdegC
1576191919:[PRESS , 95]P +37450mbar,T -8682mdegC
1576192219:[PRESS , 95]P +39140mbar,T+16903mdegC
1576192221:[PRESS , 95]P +39150mbar,T -8682mdegC
1576192228:[PRESS , 95]P +39200mbar,T+16903mdegC
1576192230:[PRESS , 95]P +39210mbar,T -8682mdegC
1576192232:[PRESS , 95]P +39220mbar,T+16903mdegC
1576192233:[PRESS , 95]P +39220mbar,T -8682mdegC
1576192239:[PRESS , 95]P +39260mbar,T+31267mdegC
1576192241:[PRESS , 95]P +39270mbar,T+16903mdegC
1576192242:[PRESS , 95]P +39280mbar,T+31267mdegC
1576192244:[PRESS , 95]P +39290mbar,T -8682mdegC
1576192544:[PRESS , 95]P +41050mbar,T+16903mdegC
1576192548:[PRESS , 95]P +41080mbar,T -8682mdegC
1576192550:[PRESS , 95]P +41090mbar,T+31267mdegC
1576192551:[PRESS , 95]P +41100mbar,T -8682mdegC
1576192553:[PRESS , 95]P +41110mbar,T+16903mdegC
1576192557:[PRESS , 95]P +41130mbar,T -8682mdegC
1576192559:[PRESS , 95]P +41140mbar,T+31267mdegC
1576192560:[PRESS , 95]P +41150mbar,T -8682mdegC
1576192566:[PRESS , 95]P +41170mbar,T+31267mdegC
1576192870:[PRESS , 95]P +42700mbar,T -8682mdegC
1576192871:[PRESS , 95]P +42710mbar,T+31267mdegC
1576192873:[PRESS , 95]P +42720mbar,T -8682mdegC
1576192875:[PRESS , 95]P +42720mbar,T+31267mdegC
1576192877:[PRESS , 95]P +42740mbar,T -8682mdegC
1576192880:[PRESS , 95]P +42760mbar,T+31267mdegC
1576192882:[PRESS , 95]P +42770mbar,T -8682mdegC
1576192886:[PRESS , 95]P +42790mbar,T +5679mdegC
1576192888:[PRESS , 95]P +42790mbar,T+31267mdegC
1576192891:[PRESS , 95]P +42800mbar,T-19911mdegC
